Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
5.34,1.06419,-1.75885,-0.00243696,0.000605591,0.00145723,-0.000650309,1.24038,0.332132,0.00117379,-0.00258542,0,0,
5.37,1.06411,-1.75884,-0.00239455,0.000586664,0.00141375,-0.000630912,1.24042,0.332054,0.00114815,-0.00254659,0,0,
5.4,1.06404,-1.75882,-0.0023534,0.000568301,0.00137156,-0.000612092,1.24045,0.331978,0.00112328,-0.00250891,0,0,
5.43,1.06397,-1.7588,-0.00231348,0.000550486,0.00133064,-0.000593833,1.24048,0.331903,0.00109916,-0.00247235,0,0,
5.46,1.0639,-1.75878,-0.00227476,0.000533202,0.00129094,-0.000576116,1.24052,0.331829,0.00107575,-0.00243688,0,0,
5.49,1.06383,-1.75877,-0.00223718,0.000516435,0.00125243,-0.000558928,1.24055,0.331755,0.00105305,-0.00240247,0,0,
5.52,1.06377,-1.75875,-0.00220073,0.000500167,0.00121507,-0.000542251,1.24058,0.331683,0.00103102,-0.00236908,0,0,
5.55,1.0637,-1.75874,-0.00216537,0.000484385,0.00117882,-0.00052607,1.24061,0.331612,0.00100966,-0.00233668,0,0,
5.58,1.06364,-1.75872,-0.00213106,0.000469074,0.00114366,-0.000510372,1.24064,0.331542,0.00098893,-0.00230525,0,0,
5.61,1.06357,-1.75871,-0.00209777,0.00045422,0.00110954,-0.000495141,1.24067,0.331473,0.000968822,-0.00227475,0,0,
5.64,1.06351,-1.7587,-0.00206548,0.000439809,0.00107645,-0.000480364,1.2407,0.331405,0.000949316,-0.00224516,0,0,
5.67,1.06345,-1.75868,-0.00203415,0.000425828,0.00104434,-0.000466028,1.24073,0.331337,0.000930394,-0.00221645,0,0,
5.7,1.06339,-1.75867,-0.00200375,0.000412264,0.0010132,-0.000452118,1.24076,0.331271,0.000912036,-0.0021886,0,0,
